Date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
Jan-01,1.8012,1.9561,1.5032,8.2776,7.9629,7.7998,46.61,116.67,1272.63,3.8,9.769,2.2512,8.7817,1.738,7.7786,85.833,9.491,1.6305,32.673,43.149,0.6768,0.7,1.0666
Feb-01,1.8734,2.006,1.5216,8.2771,8.1103,7.7999,46.56,116.23,1252.85,3.8,9.711,2.3015,8.918,1.7435,7.8214,87.136,9.7518,1.6686,32.33,42.665,0.6885,0.7,1.0864
Mar-01,1.9877,2.0955,1.5587,8.2775,8.2229,7.7999,46.65,121.51,1291.41,3.8,9.599,2.3912,8.9859,1.7732,7.898,85.73,10.0516,1.6908,32.622,43.988,0.6923,0.71,1.101
Apr-01,1.9936,2.1934,1.5578,8.2771,8.3657,7.7993,46.79,123.77,1327.76,3.8,9.328,2.4576,9.092,1.8118,8.0783,88.205,10.2035,1.7131,32.941,45.494,0.697,0.71,1.1204
May-01,1.9234,2.2926,1.5411,8.277,8.5256,7.7999,46.95,121.77,1298.9,3.8,9.148,2.3708,9.138,1.8141,7.9789,90.848,10.3513,1.7528,33.203,45.525,0.701,0.71,1.1425
Jun-01,1.9305,2.3788,1.5245,8.277,8.7397,7.7997,47.04,122.35,1295.05,3.8,9.088,2.4149,9.3014,1.817,8.0595,90.371,10.793,1.7856,34.328,45.263,0.7133,0.72,1.1723
Jul-01,1.965,2.4731,1.5308,8.2769,8.6442,7.7999,47.18,124.5,1305.24,3.8,9.168,2.4504,9.2566,1.8233,8.2094,90.314,10.7603,1.757,34.821,45.641,0.7068,0.72,1.1608
Aug-01,1.9062,2.5122,1.5399,8.277,8.2632,7.7997,47.17,121.37,1285.65,3.8,9.133,2.318,8.9427,1.7613,8.3115,89.994,10.3329,1.6808,34.639,44.907,0.6958,0.73,1.1094
Sep-01,1.9857,2.6767,1.5679,8.2768,8.1654,7.7997,47.75,118.61,1293.83,3.8,9.425,2.3964,8.7691,1.7494,8.6756,90.157,10.6353,1.6338,34.585,44.331,0.6832,0.74,1.0972
Oct-01,1.9833,2.7408,1.5717,8.2768,8.2186,7.7999,48.05,121.45,1302.36,3.8001,9.339,2.416,8.8329,1.8113,9.2804,90.954,10.5661,1.6357,34.583,44.75,0.6896,0.74,1.105
Nov-01,1.9361,2.5481,1.5922,8.2769,8.3832,7.7996,48.04,122.41,1282.1,3.8,9.225,2.405,8.9296,1.8295,9.7388,92.67,10.6117,1.6509,34.498,44.411,0.6966,0.75,1.1257
Dec-01,1.9463,2.3635,1.5788,8.2764,8.3526,7.7989,47.93,127.59,1292.29,3.8,9.157,2.4056,8.9713,1.8382,11.6761,93.194,10.5753,1.6566,34.682,43.952,0.6938,0.75,1.1221
Jan-02,1.9342,2.3799,1.5997,8.2771,8.4183,7.7989,48.35,132.68,1316.34,3.8,9.164,2.3557,8.9684,1.8394,11.6258,93.473,10.4561,1.6709,35.027,44.036,0.6982,0.76,1.1322
Feb-02,1.9501,2.4242,1.5964,8.2767,8.5343,7.7996,48.72,133.64,1320.55,3.8002,9.105,2.3883,8.9492,1.8312,11.4923,93.65,10.5501,1.697,35.073,43.854,0.7029,0.9,1.1485
